Date,Close,High,Low,Open,Volume
,MCD,MCD,MCD,MCD,MCD
2024-01-02,285.1023864746094,285.332731837465,283.19234187053365,283.19234187053365,4458400
2024-01-03,282.5588684082031,286.0141657255201,282.4244807637366,285.06396189236966,3114800
2024-01-04,280.015380859375,285.32313696470936,279.2283577377835,283.4515222265229,4615400
2024-01-05,277.3758850097656,278.66202876107974,275.65784370639784,277.5870446878094,3407300
2024-01-08,280.1689147949219,280.2649017838931,275.9649365815848,276.91516969394837,3097000
2024-01-09,279.18035888671875,279.18035888671875,275.9649845890866,277.9902020315596,2176400
2024-01-10,282.27093505859375,282.5588960572925,279.18034113572736,279.3051213060515,2199700
2024-01-11,282.3285217285156,283.09638843481895,278.969181777628,282.61648272754934,2047400
2024-01-12,281.6758728027344,283.8642417790395,281.0711868910635,283.58588825168977,1714800
2024-01-16,279.3915100097656,282.4245176908963,278.32613336555494,281.67586593544206,2859000
2024-01-17,279.4587097167969,280.59128021584036,278.47010507930617,278.4797125671168,2008200
2024-01-18,282.5300598144531,282.6452617829853,279.60264686275167,280.35129855705975,2221200
2024-01-19,288.4521179199219,288.9800024717348,284.60326484544544,286.0237962575678,4250900
2024-01-22,286.41729736328125,290.2373569329699,285.7742108956235,288.8552262992693,3250200
2024-01-23,287.9914245605469,288.1449979131896,285.18879142540214,285.4863306426718,1874000
2024-01-24,288.36572265625,289.9014266655211,287.2811311504938,287.9434033214225,3209700
2024-01-25,285.2655334472656,289.20076598278825,284.1905493829728,288.65366646363674,3219600
2024-01-26,280.5145263671875,284.08502642071085,279.97703425514084,283.4611254950109,4210500
2024-01-29,280.5624084472656,280.99433520204605,276.7231636620642,279.91935134876775,3899700
2024-01-30,282.8083801269531,283.06754791184125,278.5372376214116,280.39927379742176,2524200
2024-01-31,280.95599365234375,285.486304623486,279.9289884264026,284.00818686874675,3476200
2024-02-01,286.1005859375,286.1485940849762,278.614068296596,279.97701345230985,3380600
2024-02-02,285.11199951171875,286.1870130156916,281.56071447220563,284.1714029710366,3971600
2024-02-05,274.4772644042969,279.7274338798987,271.9433482746426,275.47547645153514,7581900
2024-02-06,273.2102966308594,273.23908979989505,270.2252973733958,271.59782058262596,5927200
2024-02-07,275.7825927734375,278.85400092644545,272.69199893750385,273.59422398403296,3954700
2024-02-08,280.1977233886719,281.36869441990837,272.7784003197053,274.69802304034755,4605000
2024-02-09,277.83660888671875,280.75444376268496,277.3087243298281,280.4088964251176,3323000
2024-02-12,277.80780029296875,279.48747016034,277.15513560294426,277.3854809544546,2392300
2024-02-13,275.5714416503906,278.24932370315025,274.1893401588681,277.0303737493575,2756100
2024-02-14,276.5888977050781,276.73286357438434,275.07237910539163,275.7730520575124,2139300
2024-02-15,280.1305847167969,280.3609594065914,275.73466070913133,276.3297391831129,2401400
2024-02-16,280.28411865234375,281.89662408958003,277.6350590669009,279.1035693590998,2837500
2024-02-20,280.8887939453125,283.62426223114625,280.1113490723339,280.26492240776554,2264000
2024-02-21,282.0981750488281,283.3363399693329,280.5048845931763,281.3111226627014,2076400
2024-02-22,284.02740478515625,284.74726334126194,281.46469543732735,282.18455399343304,3146600
2024-02-23,285.78387451171875,286.73407852484536,283.21158671810736,284.10420438444584,2199000
2024-02-26,285.1791687011719,286.67647219554004,284.4881032967619,286.2253596497291,2595300
2024-02-27,281.9541931152344,284.87199854583605,281.53187377559925,284.87199854583605,2811200
2024-02-28,283.3267517089844,284.2001836663553,280.9560161935837,282.21336688281224,2507300
2024-02-29,282.1297912597656,284.51401505790017,281.57957896994077,283.9831270673646,3601700
2024-03-01,280.6335754394531,282.50620571813016,279.47523710662097,281.27065857673404,3028900
2024-03-04,280.8363342285156,281.12590414459345,278.4810673851699,279.32084959956944,2832000
