Date,Close,High,Low,Open,Volume
,TSM,TSM,TSM,TSM,TSM
2024-01-02,99.04843139648438,100.11179379650002,98.13140422767148,99.75083455192241,9020900
2024-01-03,97.72167205810547,98.77527679690638,97.2241426894376,97.88751518099475,6650600
2024-01-04,96.70709991455078,97.98508645861875,96.69734968961424,97.09732475668665,7996700
2024-01-05,97.17536926269531,98.18019318705034,96.38516936935197,96.58027806504279,7347300
2024-01-08,99.74108123779297,100.27764129464573,98.04361183335236,98.17043173637238,12455600
2024-01-09,99.39964294433594,99.47768940119495,97.76070456489559,98.58017747607566,7764000
2024-01-10,98.33627319335938,100.26787433314297,97.5363157373333,100.01422710769509,6975700
2024-01-11,98.74601745605469,99.66304468751504,97.54607740971997,99.21428129639051,7862700
2024-01-12,98.7655258178711,99.87766174760695,98.40457398983727,98.42408188206089,6519700
2024-01-16,99.18501281738281,99.84839277409934,97.75094089308979,98.07287692566972,11185500
2024-01-17,100.43372344970703,100.80444036511516,97.55582945786759,98.40456785360192,17649500
2024-01-18,110.26734924316406,110.61855081317292,106.8041218762974,108.48207583610552,58783700
2024-01-19,111.40876007080078,112.33554496470984,108.30648423462043,110.45271706031548,37812600
2024-01-22,110.26734924316406,112.28675454925553,109.76981244516503,111.97457620290531,17755500
2024-01-23,111.34046936035156,111.81849830025328,110.39418403369002,110.74537818448974,11667900
2024-01-24,113.67205047607422,115.94510311407183,111.80873798298394,112.51114115377455,21859200
2024-01-25,113.71107482910156,115.93534659671685,113.6330358205103,115.13538907603207,15485300
2024-01-26,114.39397430419922,115.15490862699184,113.45743918053758,114.04277270246116,10196400
2024-01-29,114.12081146240234,114.98905774068135,112.93062916374959,114.30616247538075,10042200
2024-01-30,113.22329711914062,115.12564032370584,112.73551795534226,113.51596759458738,11030800
2024-01-31,110.19906616210938,111.93555876867822,110.12101971075545,110.72586854436946,12853900
2024-02-01,110.61856079101562,111.24291754003332,109.85762646833278,111.01854328740609,8807600
2024-02-02,112.9208755493164,113.12574190338299,111.13560203726847,112.05262923987831,10044000
2024-02-05,115.8865737915039,116.61824253191779,113.73059079623465,114.26714340678657,13267600
2024-02-06,116.4621353149414,118.0327846134321,115.38902278280275,117.18405374232859,11503800
2024-02-07,121.92527770996094,121.94478560077268,117.06699417674177,117.07675184360717,18172500
2024-02-08,130.46139526367188,131.45646880597033,123.0276464664607,123.89589267798317,33367000
2024-02-09,129.8565673828125,131.86621512189572,127.3981562708652,131.21259283977514,16984200
2024-02-12,127.27134704589844,130.24678806159645,127.0762234700556,130.01266358792722,14203800
2024-02-13,124.43246459960938,126.7445330156408,123.38861751248872,124.80317407552128,14494000
2024-02-14,126.11042785644531,127.59326578106734,124.83244139948533,126.46162944613761,13069700
2024-02-15,125.87628936767578,127.92496780261995,125.21291685249078,127.60303176936651,12554000
2024-02-16,123.59349060058594,125.49582641911437,122.73499448316215,124.02273121637823,13104400
2024-02-20,122.2667236328125,123.95443532526183,121.1155645400835,123.78859220041659,12038800
2024-02-21,122.27648162841797,122.31550485608278,119.90588195186818,121.38872738853252,11469700
2024-02-22,125.91532135009766,128.26640562246328,125.84702512149575,126.52016275387982,17014100
2024-02-23,126.36407470703125,127.80789692924473,124.60807410356192,127.31036751853425,10123300
2024-02-26,127.44693756103516,128.02251339376394,125.4177744813676,126.84209616974988,9526700
2024-02-27,125.44703674316406,128.74442852169787,125.44703674316406,127.57376155268835,8851800
2024-02-28,124.26660919189453,125.4372835763585,123.5544558260456,125.35923712881045,6519100
2024-02-29,125.52509307861328,126.03238759661141,124.0422476382211,124.90073632024608,9369900
2024-03-01,130.62725830078125,133.31004378772354,126.92014844567784,126.94941400557734,24393000
2024-03-04,134.88067626953125,138.51951920543087,134.31485070669027,136.51962184566332,26544600
2024-03-05,131.67112731933594,134.0709928091229,130.46142946284635,133.7685720664607,13694700
